Date,Time,ns1:sex,ns1:lat,lat,Latitudes,ns1:lon,lon,Longitudes
01-01-1900,00:05:00,M,380900N,380900,38.09,0790400W,790400,-7.904
01-01-1900,07:00:00,M,415900N,415900,41.59,0024900E,24900,0.249
01-01-1900,13:45:00,M,555700N,555700,55.57,0030000W,30000,-0.3
01-01-1900,07:00:00,F,415900N,415900,41.59,0024900E,24900,0.249
01-01-1900,12:00:00,F,352500N,352500,35.25,1364500E,1364500,13.645
03-01-1900,15:51:00,M,434200N,434200,43.42,0071500E,71500,0.715
16-01-1900,16:39:00,M,402000N,402000,40.2,0785500W,785500,-7.855
16-01-1900,08:00:00,F,483300N,483300,48.33,0102300E,102300,1.023
17-01-1900,13:00:00,M,492100N,492100,49.21,0064500E,64500,0.645
20-01-1900,02:00:00,M,483900N,483900,48.39,0020100W,20100,-0.201
20-01-1900,02:00:00,F,483900N,483900,48.39,0020100W,20100,-0.201
22-01-1900,00:15:00,M,542000N,542000,54.2,0100800E,100800,1.008
01-02-1900,22:45:00,M,555700N,555700,55.57,0031300W,31300,-0.313
02-02-1900,09:00:00,M,393359N,393359,39.33,0752800E,752800,7.528
08-02-1900,11:42:00,M,474800N,474800,47.48,0033400E,33400,0.334
10-02-1900,22:00:00,M,454400N,454400,45.44,0105600E,105600,1.056
10-02-1900,22:00:00,F,454400N,454400,45.44,0105600E,105600,1.056
12-02-1900,02:00:00,M,555700N,555700,55.57,0031300W,31300,-0.313
16-02-1900,08:00:00,M,555700N,555700,55.57,0031300W,31300,-0.313
21-02-1900,08:00:00,F,485200N,485200,48.52,0022000E,22000,0.22
21-02-1900,08:00:00,M,485200N,485200,48.52,0022000E,22000,0.22
22-02-1900,12:00:00,M,405600N,405600,40.56,0001400W,1400,-0.014
22-02-1900,12:00:00,F,405600N,405600,40.56,0001400W,1400,-0.014
22-02-1900,22:30:00,M,571000N,571000,57.1,0020400W,20400,-0.204
02-03-1900,16:30:00,M,515000N,515000,51.5,0121400E,121400,1.214
07-03-1900,06:00:00,M,522200N,522200,52.22,0045400E,45400,0.454
13-03-1900,01:30:00,F,382500N,382500,38.25,0270900E,270900,2.709
13-03-1900,12:00:00,M,382500N,382500,38.25,0270859E,270859,2.708
15-03-1900,15:00:00,M,445800N,445800,44.58,0082600E,82600,0.826
15-03-1900,15:00:00,F,445800N,445800,44.58,0082600E,82600,0.826
19-03-1900,12:00:00,M,485159N,485159,48.51,0021959E,21959,0.219
23-03-1900,19:30:00,M,500700N,500700,50.07,0084000E,84000,0.84
23-03-1900,19:30:00,F,500700N,500700,50.07,0084000E,84000,0.84
05-04-1900,01:57:00,M,430200N,430200,43.02,0875400W,875400,-8.754
05-04-1900,01:57:00,F,430200N,430200,43.02,0875400W,875400,-8.754
19-04-1900,22:00:00,M,511700N,511700,51.17,0000400W,400,-0.004
21-04-1900,01:15:00,M,512800N,512800,51.28,0071300E,71300,0.713
23-04-1900,08:00:00,F,445000N,445000,44.5,0003400W,3400,-0.034
23-04-1900,08:00:00,M,445000N,445000,44.5,0003400W,3400,-0.034
25-04-1900,12:00:00,M,481300N,481300,48.13,0162000E,162000,1.62
03-05-1900,07:00:00,M,485200N,485200,48.52,0022000E,22000,0.22
03-05-1900,07:00:00,F,485200N,485200,48.52,0022000E,22000,0.22
07-05-1900,00:15:00,M,480800N,480800,48.08,0113359E,113359,1.133
10-05-1900,12:45:00,M,473259N,473259,47.32,0073500E,73500,0.735
10-05-1900,12:45:00,M,461900N,461900,46.19,0061000E,61000,0.61
13-05-1900,05:00:00,F,342500N,342500,34.25,1194200W,1194200,-1.942
13-05-1900,05:00:00,M,342500N,342500,34.25,1194200W,1194200,-1.942
13-05-1900,14:00:00,M,495300N,495300,49.53,0084000E,84000,0.84
14-05-1900,01:30:00,M,452700N,452700,45.27,0122100E,122100,1.221
14-05-1900,01:30:00,F,452700N,452700,45.27,0122100E,122100,1.221
26-05-1900,15:00:00,M,405100N,405100,40.51,0141700E,141700,1.417
26-05-1900,15:00:00,F,405100N,405100,40.51,0141700E,141700,1.417
05-06-1900,12:00:00,M,473000N,473000,47.3,0190500E,190500,1.905
06-06-1900,05:50:00,M,524800N,524800,52.48,0020700W,20700,-0.207
11-06-1900,03:30:00,F,404600N,404600,40.46,0735900W,735900,-7.359
17-06-1900,15:30:00,F,484600N,484600,48.46,0091100E,91100,0.911
17-06-1900,15:30:00,M,484600N,484600,48.46,0091100E,91100,0.911
18-06-1900,08:32:00,M,514959N,514959,51.49,0104700E,104700,1.047
26-06-1900,10:00:00,F,412700N,412700,41.27,0903400W,903400,-9.034
29-06-1900,09:15:00,M,454500N,454500,45.45,0045100E,45100,0.451
30-06-1900,15:18:00,F,021500S,21500,-2.15,0493000W,493000,-4.93
03-07-1900,11:20:00,F,415400N,415400,41.54,0122900E,122900,1.229
05-07-1900,08:00:00,M,480800N,480800,48.08,0113359E,113359,1.133
05-07-1900,08:00:00,M,480800N,480800,48.08,0113400E,113400,1.134
07-07-1900,12:00:00,F,404500N,404500,40.45,1115300W,1115300,-1.153
08-07-1900,06:25:00,M,401400N,401400,40.14,0744400W,744400,-7.444
20-07-1900,02:00:00,M,511300N,511300,51.13,0042500E,42500,0.425
24-07-1900,05:40:00,M,322200N,322200,32.22,0861800W,861800,-8.618
27-07-1900,13:00:00,M,431800N,431800,43.18,0052400E,52400,0.524
29-07-1900,16:00:00,F,481900N,481900,48.19,0112800E,112800,1.128
29-07-1900,16:00:00,M,481900N,481900,48.19,0112800E,112800,1.128
29-07-1900,12:00:00,M,591959N,591959,59.19,0180259E,180259,1.802
03-08-1900,17:00:00,M,394800N,394800,39.48,0873000W,873000,-8.73
10-08-1900,05:00:00,M,485200N,485200,48.52,0022000E,22000,0.22
10-08-1900,08:00:00,F,485200N,485200,48.52,0022000E,22000,0.22
16-08-1900,08:40:00,M,445700N,445700,44.57,0930500W,930500,-9.305
16-08-1900,08:40:00,F,445700N,445700,44.57,0930500W,930500,-9.305
22-08-1900,20:00:00,M,353600N,353600,35.36,0823300W,823300,-8.233
24-08-1900,02:00:00,M,460100N,460100,46.01,0085800E,85800,0.858
25-08-1900,10:42:00,F,444400N,444400,44.44,0983100W,983100,-9.831
25-08-1900,03:00:00,M,520900N,520900,52.09,0095700E,95700,0.957
25-08-1900,03:00:00,F,520900N,520900,52.09,0095700E,95700,0.957
25-08-1900,12:00:00,M,520900N,520900,52.09,0095659E,95659,0.956
25-08-1900,10:42:00,M,444400N,444400,44.44,0983100W,983100,-9.831
03-09-1900,19:00:00,M,515900N,515900,51.59,0055500E,55500,0.555
04-09-1900,11:45:00,M,555300N,555300,55.53,0041500W,41500,-0.415
08-09-1900,09:51:00,M,482700N,482700,48.27,0013000E,13000,0.13
09-09-1900,02:10:00,M,533000N,533000,53.3,0023300W,23300,-0.233
22-09-1900,17:15:00,M,425600N,425600,42.56,0721700W,721700,-7.217
03-10-1900,10:00:00,M,353600N,353600,35.36,0823300W,823300,-8.233
10-10-1900,03:25:00,F,385400N,385400,38.54,0770200W,770200,-7.702
10-10-1900,03:25:00,M,385400N,385400,38.54,0770200W,770200,-7.702
12-10-1900,11:05:24,M,372700N,372700,37.27,0975100W,975100,-9.751
19-10-1900,22:15:00,M,510500N,510500,51.05,0133800E,133800,1.338
26-10-1900,04:35:00,M,510159N,510159,51.01,0042800E,42800,0.428
